TrainCategory,TrainId,Route
RØ,3400,"KH/86, HG/86"
RØ,4453,"KK/86, NÆ/86"
RØ,2579,"HG/86, KH/86"
L,63,"CPH/86, FA/86, VJ/86, AR/86"
L,62,"AR/86, VJ/86, FA/86, CPH/86"
RØ,2436,"NÆ/86, KH/86"
RØ,3471,"HG/86, KH/86"
M,9387,"KH/86, CPH/86"
RØ,3802,"NF/86, VO/86"
RØ,4254,"RO/86, HG/86"
RØ,4214,"NÆ/86, HG/86"
RØ,1224,"NF/86, KH/86"
RØ,2252,"NÆ/86, HG/86"
RØ,4824,"NF/86, NÆ/86"
IC,2329,"ES/86, FA/86"
RØ,3448,"KH/86, HG/86"
RØ,4274,"KH/86, HG/86"
RØ,4828,"NF/86, NÆ/86"
RØ,2558,"HK/86, HG/86"
RØ,262,"SG/86, CPH/86"
RØ,4230,"NÆ/86, HG/86"
RV,4748,"FA/86, OD/86"
RØ,2208,"NÆ/86, HG/86"
M,9676,"KH/86, KK/86"
RØ,4852,"NF/86, NÆ/86"
M,9043,"HG/86, KK/86"
IC,417,"FA/86, AR/86"
IC,129,"KK/86, FA/86"
RØ,4262,"RO/86, HG/86"
M,6322,"KK/86, HGL/86"
RØ,2538,"HK/86, HG/86"
RØ,239,"CPH/86, SG/86"
RØ,4569,"HG/86, HK/86"
RØ,3440,"KH/86, HG/86"
L,42,"AR/86, VJ/86, FA/86, CPH/86"
L,66,"AR/86, VJ/86, FA/86, CPH/86"
L,4026,"ABL/86, AR/86"
RV,2940,"AR/86, FA/86"
IC,116,"FA/86, HGL/86"
RV,4756,"FA/86, OD/86"
RV,2733,"OD/86, FA/86"
RØ,4544,"HK/86, HG/86"
RØ,4821,"NÆ/86, NF/86"
IC,2376,"FA/86, ES/86"
RØ,2500,"KH/86, HG/86"
RØ,4549,"HG/86, HK/86"
IC,5764,"FLB/80, FA/86"
IC,2337,"ES/86, FA/86"
RØ,279,"CPH/86, SG/86"
IC,1476,"KH/86, CPH/86"
IC,2383,"ES/86, FA/86"
RØ,3559,"KK/86, KB/86"
RV,3954,"AR/86, FA/86"
RØ,2245,"HG/86, NÆ/86"
